periodo,municipio,bairros,disparos,presenca_policial,mortos,feridos
antes,Rio de Janeiro,Cidade de Deus,145,27,18,16
antes,Rio de Janeiro,Praça Seca,107,8,4,8
antes,Rio de Janeiro,Rocinha,103,30,35,42
antes,Rio de Janeiro,Maré,99,12,14,8
antes,Rio de Janeiro,Complexo do Alemão,92,5,1,18
antes,Rio de Janeiro,Vila Kennedy,84,9,4,14
antes,Rio de Janeiro,Copacabana,73,5,3,5
antes,Rio de Janeiro,Tijuca,70,5,5,10
antes,São Gonçalo,Jardim Catarina,54,9,6,8
antes,Rio de Janeiro,Bangu,54,7,6,11
durante,Rio de Janeiro,Vila Kennedy,217,21,5,13
durante,Rio de Janeiro,Praça Seca,181,24,10,11
durante,Rio de Janeiro,Complexo do Alemão,150,31,13,14
durante,Rio de Janeiro,Cidade de Deus,140,25,9,7
durante,Rio de Janeiro,Tijuca,134,12,3,10
durante,Rio de Janeiro,Rocinha,111,30,19,14
durante,Rio de Janeiro,Santa Cruz,96,9,7,2
durante,Rio de Janeiro,Realengo,85,6,7,6
durante,Rio de Janeiro,Taquara,85,7,5,5
durante,Rio de Janeiro,Pavuna,80,10,4,4